2014;Jänner;Februar;März;April;Mai ;Juni;Juli;August;September;Oktober;November;Dezember
1;AKH;BHB / Elisabeth.;BHS;BHS;AKH;AKH;AKH;BHS;BHS;AKH;BHB / Elisabeth.;AKH
2;BHB / Elisabeth.;BHB / Elisabeth.;BHS;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;BHS;AKH;AKH;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.
3;BHS;BHS;AKH;BHS;BHS;BHS;AKH;AKH;BHS;BHS;BHS;AKH
4;AKH;AKH;BHB / Elisabeth.;AKH;BHS;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;AKH;AKH;AKH;BHB / Elisabeth.
5;AKH;BHS;AKH;BHB / Elisabeth.;AKH;BHS;BHS;BHS;BHB / Elisabeth.;AKH;BHS;BHS
6;BHB / Elisabeth.;AKH;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;AKH;BHS;BHB / Elisabeth.;BHS;BHB / Elisabeth.;AKH;AKH
7;BHS;BHB / Elisabeth.;BHS;AKH;AKH;BHB / Elisabeth.;AKH;BHS;BHS;BHS;BHB / Elisabeth.;AKH
8;BHB / Elisabeth.;BHS;AKH;AKH;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;AKH;AKH;BHB / Elisabeth.;BHS;BHB / Elisabeth.
9;BHS;BHS;AKH;BHS;BHS;BHS;AKH;BHB / Elisabeth.;BHB / Elisabeth.;BHS;BHS;BHS
10;AKH;AKH;BHB / Elisabeth.;AKH;AKH;AKH;BHB / Elisabeth.;BHB / Elisabeth.;AKH;AKH;AKH;BHB / Elisabeth.
11;BHB / Elisabeth.;BHB / Elisabeth.;BHS;BHB / Elisabeth.;AKH;BHS;BHS;BHS;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;BHS
12;BHB / Elisabeth.;AKH;BHB / Elisabeth.;BHS;BHB / Elisabeth.;AKH;AKH;AKH;BHS;BHB / Elisabeth.;AKH;AKH
13;BHS;BHB / Elisabeth.;BHS;BHS;BHS;BHB / Elisabeth.;AKH;BHS;AKH;BHS;BHB / Elisabeth.;BHB / Elisabeth.
14;AKH;BHS;AKH;AKH;BHB / Elisabeth.;BHS;BHB / Elisabeth.;AKH;AKH;AKH;BHS;BHB / Elisabeth.
15;BHS;AKH;BHB / Elisabeth.;BHB / Elisabeth.;BHS;BHS;BHS;BHB / Elisabeth.;BHB / Elisabeth.;BHS;AKH;BHS
16;AKH;AKH;BHB / Elisabeth.;AKH;AKH;AKH;BHB / Elisabeth.;BHS;BHS;AKH;AKH;AKH
17;BHB / Elisabeth.;BHB / Elisabeth.;BHS;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;BHS;BHS;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;BHS
18;BHS;BHS;AKH;BHS;BHB / Elisabeth.;AKH;AKH;AKH;BHS;BHS;BHS;AKH
19;BHS;BHB / Elisabeth.;BHS;AKH;BHS;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;AKH;BHS;BHB / Elisabeth.;BHB / Elisabeth.
20;AKH;BHS;AKH;AKH;AKH;BHS;BHB / Elisabeth.;AKH;BHB / Elisabeth.;AKH;BHS;BHS
21;BHB / Elisabeth.;AKH;BHB / Elisabeth.;BHB / Elisabeth.;BHS;AKH;BHS;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;AKH;BHS
22;AKH;BHB / Elisabeth.;BHS;BHS;AKH;AKH;AKH;BHS;AKH;AKH;BHB / Elisabeth.;AKH
23;BHB / Elisabeth.;BHB / Elisabeth.;BHS;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;BHS;AKH;AKH;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.
24;BHS;BHS;AKH;BHS;BHS;BHS;AKH;AKH;BHS;BHS;BHS;AKH
25;AKH;AKH;BHB / Elisabeth.;AKH;BHS;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;AKH;AKH;AKH;BHB / Elisabeth.
26;AKH;BHS;AKH;BHB / Elisabeth.;AKH;BHS;BHS;BHS;BHB / Elisabeth.;AKH;BHS;BHS
27;BHB / Elisabeth.;AKH;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;AKH;BHS;BHB / Elisabeth.;BHS;BHB / Elisabeth.;AKH;AKH
28;BHS;BHB / Elisabeth.;BHS;BHS;AKH;BHB / Elisabeth.;AKH;BHS;BHS;BHS;BHB / Elisabeth.;AKH
29;BHB / Elisabeth.;;AKH;AKH;BHB / Elisabeth.;BHB / Elisabeth.;BHB / Elisabeth.;AKH;AKH;BHB / Elisabeth.;BHS;BHB / Elisabeth.
30;BHS;;AKH;BHS;BHS;BHS;AKH;BHB / Elisabeth.;BHB / Elisabeth.;BHS;BHS;BHS
31;AKH;;BHB / Elisabeth.;;AKH;;BHB / Elisabeth.;BHB / Elisabeth.;;AKH;;BHB / Elisabeth.
;;;;;;;;;;;;
;;;;;;;;;;;;
