2019;Jänner;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
1;KHA;KHB / KHE;KHS;KHS;KHA;KHA;KHA;KHS;KHS;KHA;KHB / KHE;KHA
2;KHB / KHE;KHB / KHE;KHS;KHB / KHE;KHB / KHE;KHB / KHE;KHS;KHA;KHA;KHB / KHE;KHB / KHE;KHB / KHE
3;KHS;KHS;KHA;KHS;KHS;KHS;KHA;KHA;KHS;KHS;KHS;KHA
4;KHA;KHA;KHB / KHE;KHA;KHS;KHB / KHE;KHB / KHE;KHB / KHE;KHA;KHA;KHA;KHB / KHE
5;KHA;KHS;KHA;KHB / KHE;KHA;KHS;KHS;KHS;KHB / KHE;KHA;KHS;KHS
6;KHB / KHE;KHA;KHB / KHE;KHB / KHE;KHB / KHE;KHA;KHS;KHB / KHE;KHS;KHB / KHE;KHA;KHA
7;KHS;KHB / KHE;KHS;KHA;KHA;KHB / KHE;KHA;KHS;KHS;KHS;KHB / KHE;KHA
8;KHB / KHE;KHS;KHA;KHA;KHB / KHE;KHB / KHE;KHB / KHE;KHA;KHA;KHB / KHE;KHS;KHB / KHE
9;KHS;KHS;KHA;KHS;KHS;KHS;KHA;KHB / KHE;KHB / KHE;KHS;KHS;KHS
10;KHA;KHA;KHB / KHE;KHA;KHA;KHA;KHB / KHE;KHB / KHE;KHA;KHA;KHA;KHB / KHE
11;KHB / KHE;KHB / KHE;KHS;KHB / KHE;KHA;KHS;KHS;KHS;KHB / KHE;KHB / KHE;KHB / KHE;KHS
12;KHB / KHE;KHA;KHB / KHE;KHS;KHB / KHE;KHA;KHA;KHA;KHS;KHB / KHE;KHA;KHA
13;KHS;KHB / KHE;KHS;KHS;KHS;KHB / KHE;KHA;KHS;KHA;KHS;KHB / KHE;KHB / KHE
14;KHA;KHS;KHA;KHA;KHB / KHE;KHS;KHB / KHE;KHA;KHA;KHA;KHS;KHB / KHE
15;KHS;KHA;KHB / KHE;KHB / KHE;KHS;KHS;KHS;KHB / KHE;KHB / KHE;KHS;KHA;KHS
16;KHA;KHA;KHB / KHE;KHA;KHA;KHA;KHB / KHE;KHS;KHS;KHA;KHA;KHA
17;KHB / KHE;KHB / KHE;KHS;KHB / KHE;KHB / KHE;KHB / KHE;KHS;KHS;KHB / KHE;KHB / KHE;KHB / KHE;KHS
18;KHS;KHS;KHA;KHS;KHB / KHE;KHA;KHA;KHA;KHS;KHS;KHS;KHA
19;KHS;KHB / KHE;KHS;KHA;KHS;KHB / KHE;KHB / KHE;KHB / KHE;KHA;KHS;KHB / KHE;KHB / KHE
20;KHA;KHS;KHA;KHA;KHA;KHS;KHB / KHE;KHA;KHB / KHE;KHA;KHS;KHS
21;KHB / KHE;KHA;KHB / KHE;KHB / KHE;KHS;KHA;KHS;KHB / KHE;KHB / KHE;KHB / KHE;KHA;KHS
22;KHA;KHB / KHE;KHS;KHS;KHA;KHA;KHA;KHS;KHA;KHA;KHB / KHE;KHA
23;KHB / KHE;KHB / KHE;KHS;KHB / KHE;KHB / KHE;KHB / KHE;KHS;KHA;KHA;KHB / KHE;KHB / KHE;KHB / KHE
24;KHS;KHS;KHA;KHS;KHS;KHS;KHA;KHA;KHS;KHS;KHS;KHA
25;KHA;KHA;KHB / KHE;KHA;KHS;KHB / KHE;KHB / KHE;KHB / KHE;KHA;KHA;KHA;KHB / KHE
26;KHA;KHS;KHA;KHB / KHE;KHA;KHS;KHS;KHS;KHB / KHE;KHA;KHS;KHS
27;KHB / KHE;KHA;KHB / KHE;KHB / KHE;KHB / KHE;KHA;KHS;KHB / KHE;KHS;KHB / KHE;KHA;KHA
28;KHS;KHB / KHE;KHS;KHS;KHA;KHB / KHE;KHA;KHS;KHS;KHS;KHB / KHE;KHA
29;KHB / KHE;;KHA;KHA;KHB / KHE;KHB / KHE;KHB / KHE;KHA;KHA;KHB / KHE;KHS;KHB / KHE
30;KHS;;KHA;KHS;KHS;KHS;KHA;KHB / KHE;KHB / KHE;KHS;KHS;KHS
31;KHA;;KHB / KHE;;KHA;;KHB / KHE;KHB / KHE;;KHA;;KHB / KHE
